 1961 JAN  1 =JD 2437300.50 TAI-UTC=   1.4228180 S + (MJD - 37300.) X 0.0012960S
 1961 AUG  1 =JD 2437512.50 TAI-UTC=   1.6475700 S + (MJD - 37512.) X 0.0012960S
 1962 JAN  1 =JD 2437665.50 TAI-UTC=   1.8458580 S + (MJD - 37665.) X 0.0011232S
 1963 NOV  1 =JD 2438334.50 TAI-UTC=   2.6972788 S + (MJD - 38334.) X 0.0011232S
 1964 JAN  1 =JD 2438395.50 TAI-UTC=   2.7657940 S + (MJD - 38395.) X 0.0012960S
 1964 APR  1 =JD 2438486.50 TAI-UTC=   2.9837300 S + (MJD - 38486.) X 0.0012960S
 1964 SEP  1 =JD 2438639.50 TAI-UTC=   3.2820180 S + (MJD - 38639.) X 0.0012960S
 1965 JAN  1 =JD 2438761.50 TAI-UTC=   3.5401300 S + (MJD - 38761.) X 0.0012960S
 1965 MAR  1 =JD 2438820.50 TAI-UTC=   3.7165940 S + (MJD - 38820.) X 0.0012960S
 1965 JUL  1 =JD 2438942.50 TAI-UTC=   3.9747060 S + (MJD - 38942.) X 0.0012960S
 1965 SEP  1 =JD 2439004.50 TAI-UTC=   4.1550580 S + (MJD - 39004.) X 0.0012960S
 1966 JAN  1 =JD 2439126.50 TAI-UTC=   4.3131700 S + (MJD - 39126.) X 0.0025920S
 1968 FEB  1 =JD 2439887.50 TAI-UTC=   6.1856820 S + (MJD - 39887.) X 0.0025920S
 1972 JAN  1 =JD 2441317.50 TAI-UTC=  10.0000000 S + (MJD - 41317.) X 0.0000000S
 1972 JUL  1 =JD 2441499.50 TAI-UTC=  11.0000000 S + (MJD - 41499.) X 0.0000000S
 1973 JAN  1 =JD 2441683.50 TAI-UTC=  12.0000000 S + (MJD - 41683.) X 0.0000000S
 1974 JAN  1 =JD 2442048.50 TAI-UTC=  13.0000000 S + (MJD - 42048.) X 0.0000000S
 1975 JAN  1 =JD 2442413.50 TAI-UTC=  14.0000000 S + (MJD - 42413.) X 0.0000000S
 1976 JAN  1 =JD 2442778.50 TAI-UTC=  15.0000000 S + (MJD - 42778.) X 0.0000000S
 1977 JAN  1 =JD 2443144.50 TAI-UTC=  16.0000000 S + (MJD - 43144.) X 0.0000000S
 1978 JAN  1 =JD 2443509.50 TAI-UTC=  17.0000000 S + (MJD - 43509.) X 0.0000000S
 1979 JAN  1 =JD 2443874.50 TAI-UTC=  18.0000000 S + (MJD - 43874.) X 0.0000000S
 1980 JAN  1 =JD 2444239.50 TAI-UTC=  19.0000000 S + (MJD - 44239.) X 0.0000000S
 1981 JUL  1 =JD 2444786.50 TAI-UTC=  20.0000000 S + (MJD - 44786.) X 0.0000000S
 1982 JUL  1 =JD 2445151.50 TAI-UTC=  21.0000000 S + (MJD - 45151.) X 0.0000000S
 1983 JUL  1 =JD 2445516.50 TAI-UTC=  22.0000000 S + (MJD - 45516.) X 0.0000000S
 1985 JUL  1 =JD 2446247.50 TAI-UTC=  23.0000000 S + (MJD - 46247.) X 0.0000000S
 1988 JAN  1 =JD 2447161.50 TAI-UTC=  24.0000000 S + (MJD - 47161.) X 0.0000000S
 1990 JAN  1 =JD 2447892.50 TAI-UTC=  25.0000000 S + (MJD - 47892.) X 0.0000000S
 1991 JAN  1 =JD 2448257.50 TAI-UTC=  26.0000000 S + (MJD - 48257.) X 0.0000000S
 1992 JUL  1 =JD 2448804.50 TAI-UTC=  27.0000000 S + (MJD - 48804.) X 0.0000000S
 1993 JUL  1 =JD 2449169.50 TAI-UTC=  28.0000000 S + (MJD - 49169.) X 0.0000000S
 1994 JUL  1 =JD 2449534.50 TAI-UTC=  29.0000000 S + (MJD - 49534.) X 0.0000000S
 1996 JAN  1 =JD 2450083.50 TAI-UTC=  30.0000000 S + (MJD - 50083.) X 0.0000000S
 1997 JUL  1 =JD 2450630.50 TAI-UTC=  31.0000000 S + (MJD - 50630.) X 0.0000000S
 1999 JAN  1 =JD 2451179.50 TAI-UTC=  32.0000000 S + (MJD - 51179.) X 0.0000000S
 2006 JAN  1 =JD 2453736.50 TAI-UTC=  33.0000000 S + (MJD - 53736.) X 0.0000000S
 2009 JAN  1 =JD 2454832.50 TAI-UTC=  34.0000000 S + (MJD - 54832.) X 0.0000000S
 2012 JUL  1 =JD 2456109.50 TAI-UTC=  35.0000000 S + (MJD - 56109.) X 0.0000000S
 2015 JUL  1 =JD 2457204.50 TAI-UTC=  36.0000000 S + (MJD - 57204.) X 0.0000000S 
 2017 JAN  1 =JD 2457754.50 TAI-UTC=  37.0000000 S + (MJD - 57754.) X 0.0000000S
